y_pred,y_pred_price,y_true,signal,direction_pred,direction_true,fecha_inicio_ventana,fecha_fin_ventana,error,abs_error,sq_error,horizon,threshold_pips,pnl,pnl_cum
1.08965,1.08965,1.08813,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0015199999999999,0.0015199999999999,2.310399999999896e-06,1,12.0,1.08813,34.96267
1.08813,1.08813,1.08525,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0028799999999999,0.0028799999999999,8.294399999999964e-06,1,12.0,1.08525,36.04792
1.08525,1.08525,1.08839,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.0031399999999999,0.0031399999999999,9.859599999999502e-06,1,12.0,1.08839,37.13631
1.08839,1.08839,1.08466,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.00373,0.00373,1.3912900000000083e-05,1,12.0,1.08466,38.22097
1.08466,1.08466,1.0853,0.0,0.0,1.0,2023-12-06,2025-11-10,0.0006399999999999,0.0006399999999999,4.095999999999666e-07,1,12.0,1.0853,39.30626999999999
1.0853,1.0853,1.08337,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0019299999999999,0.0019299999999999,3.724899999999951e-06,1,12.0,1.08337,40.38963999999999
1.08337,1.08337,1.08449,0.0,0.0,1.0,2023-12-06,2025-11-10,0.00112,0.00112,1.254400000000022e-06,1,12.0,1.08449,41.47413
1.08449,1.08449,1.08174,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.00275,0.00275,7.562500000000166e-06,1,12.0,1.08174,42.55587
1.08174,1.08174,1.08709,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.0053499999999999,0.0053499999999999,2.862249999999964e-05,1,12.0,1.08709,43.64296
1.08709,1.08709,1.07881,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0082799999999998,0.0082799999999998,6.85583999999974e-05,1,12.0,1.07881,44.72177
1.07881,1.07881,1.07407,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0047399999999999,0.0047399999999999,2.2467599999999683e-05,1,12.0,1.07407,45.79584
1.07407,1.07407,1.07543,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.0013599999999998,0.0013599999999998,1.849599999999472e-06,1,12.0,1.07543,46.87127
1.07543,1.07543,1.07729,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.0018600000000001,0.0018600000000001,3.459600000000725e-06,1,12.0,1.07729,47.94855999999999
1.07729,1.07729,1.07777,0.0,0.0,1.0,2023-12-06,2025-11-10,0.00048,0.00048,2.304000000000345e-07,1,12.0,1.07777,49.02633
1.07777,1.07777,1.07842,0.0,0.0,1.0,2023-12-06,2025-11-10,0.0006499999999998,0.0006499999999998,4.224999999997626e-07,1,12.0,1.07842,50.10475
1.07842,1.07842,1.07717,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.0012499999999999,0.0012499999999999,1.5624999999999334e-06,1,12.0,1.07717,51.18192
1.07717,1.07717,1.07089,1.0,0.0,-1.0,2023-12-06,2025-11-10,-0.00628,0.00628,3.94384000000008e-05,1,12.0,1.07089,52.25281
1.07089,1.07089,1.07274,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.0018500000000001,0.0018500000000001,3.4225000000004784e-06,1,12.0,1.07274,53.32555
1.07274,1.07274,1.07728,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.0045399999999999,0.0045399999999999,2.0611599999999896e-05,1,12.0,1.07728,54.40283
1.07728,1.07728,1.07755,0.0,0.0,1.0,2023-12-06,2025-11-10,0.0002699999999999,0.0002699999999999,7.289999999999593e-08,1,12.0,1.07755,55.48038
1.07755,1.07755,1.07791,0.0,0.0,1.0,2023-12-06,2025-11-10,0.0003599999999999,0.0003599999999999,1.2959999999993949e-07,1,12.0,1.07791,56.55829000000001
1.07791,1.07791,1.08077,-1.0,0.0,1.0,2023-12-06,2025-11-10,0.00286,0.00286,8.179600000000485e-06,1,12.0,1.08077,57.63906000000001
