y_pred,y_pred_price,y_true,signal,direction_pred,direction_true,fecha_inicio_ventana,fecha_fin_ventana,error,abs_error,sq_error,horizon,threshold_pips,pnl,pnl_cum
1.083478331565857,1.083478331565857,1.07628,0.0,1.0,-1.0,2023-12-06,2025-11-10,-0.007198331565857,0.007198331565857,5.181597733201373e-05,1,12.0,1.07628,1.07628
1.0794689655303955,1.0794689655303955,1.07951,1.0,1.0,1.0,2023-12-06,2025-11-10,4.1034469604461776e-05,4.1034469604461776e-05,1.6838276957194971e-09,1,12.0,1.07951,2.15579
1.078966736793518,1.078966736793518,1.07617,0.0,-1.0,-1.0,2023-12-06,2025-11-10,-0.0027967367935179,0.0027967367935179,7.821736692217319e-06,1,12.0,1.07617,3.23196
1.077920436859131,1.077920436859131,1.07634,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.001580436859131,0.001580436859131,2.4977806656998822e-06,1,12.0,1.07634,4.3083
1.077701449394226,1.077701449394226,1.07943,1.0,1.0,1.0,2023-12-06,2025-11-10,0.0017285506057738,0.0017285506057738,2.987887196721024e-06,1,12.0,1.07943,5.38773
1.0793180465698242,1.0793180465698242,1.08742,0.0,-1.0,1.0,2023-12-06,2025-11-10,0.0081019534301758,0.0081019534301758,6.564164938473798e-05,1,12.0,1.08742,6.475149999999999
1.0843793153762815,1.0843793153762815,1.09908,-1.0,-1.0,1.0,2023-12-06,2025-11-10,0.0147006846237183,0.0147006846237183,0.000216110128406,1,12.0,1.09908,7.574229999999999
1.0932958126068115,1.0932958126068115,1.08943,-1.0,-1.0,-1.0,2023-12-06,2025-11-10,-0.0038658126068116,0.0038658126068116,1.4944507110983693e-05,1,12.0,1.08943,8.663659999999998
1.0946440696716309,1.0946440696716309,1.09228,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0023640696716309,0.0023640696716309,5.5888254123252285e-06,1,12.0,1.09228,9.75594
1.095572829246521,1.095572829246521,1.09794,1.0,1.0,1.0,2023-12-06,2025-11-10,0.0023671707534789,0.0023671707534789,5.603497376125958e-06,1,12.0,1.09794,10.853879999999998
1.0980620384216309,1.0980620384216309,1.09414,0.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0039220384216309,0.0039220384216309,1.5382385380749542e-05,1,12.0,1.09414,11.948019999999998
1.0976626873016355,1.0976626873016355,1.10111,1.0,1.0,1.0,2023-12-06,2025-11-10,0.0034473126983642,0.0034473126983642,1.1883964840303689e-05,1,12.0,1.10111,13.049129999999998
1.1000629663467407,1.1000629663467407,1.10108,0.0,-1.0,-1.0,2023-12-06,2025-11-10,0.0010170336532593,0.0010170336532593,1.0343574518620313e-06,1,12.0,1.10108,14.150209999999998
1.1016411781311035,1.1016411781311035,1.1041,0.0,1.0,1.0,2023-12-06,2025-11-10,0.0024588218688965,0.0024588218688965,6.045804982964e-06,1,12.0,1.1041,15.254309999999998
1.1038389205932615,1.1038389205932615,1.1106,0.0,-1.0,1.0,2023-12-06,2025-11-10,0.0067610794067383,0.0067610794067383,4.57121947442209e-05,1,12.0,1.1106,16.36491
1.1080868244171145,1.1080868244171145,1.10615,-1.0,-1.0,-1.0,2023-12-06,2025-11-10,-0.0019368244171142,0.0019368244171142,3.751288822730114e-06,1,12.0,1.10615,17.471059999999998
1.1088191270828247,1.1088191270828247,1.10384,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0049791270828247,0.0049791270828247,2.479170650691915e-05,1,12.0,1.10384,18.5749
1.107641339302063,1.107641339302063,1.09406,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0135813393020629,0.0135813393020629,0.0001844527772377,1,12.0,1.09406,19.66896
1.1018922328948977,1.1018922328948977,1.0919,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0099922328948973,0.0099922328948973,9.984471822586904e-05,1,12.0,1.0919,20.76086
1.0965690612792969,1.0965690612792969,1.09471,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0018590612792968,0.0018590612792968,3.4561088401806663e-06,1,12.0,1.09471,21.85557
1.0945130586624146,1.0945130586624146,1.09403,0.0,-1.0,-1.0,2023-12-06,2025-11-10,-0.0004830586624144,0.0004830586624144,2.333456713336789e-07,1,12.0,1.09403,22.9496
1.0927897691726685,1.0927897691726685,1.09501,-1.0,-1.0,1.0,2023-12-06,2025-11-10,0.0022202308273315,0.0022202308273315,4.9294249266334805e-06,1,12.0,1.09501,24.044609999999995
1.0924917459487915,1.0924917459487915,1.09299,-1.0,-1.0,-1.0,2023-12-06,2025-11-10,0.0004982540512084,0.0004982540512084,2.48257099545585e-07,1,12.0,1.09299,25.1376
1.092185139656067,1.092185139656067,1.09713,0.0,-1.0,1.0,2023-12-06,2025-11-10,0.004944860343933,0.004944860343933,2.445164382100162e-05,1,12.0,1.09713,26.234729999999995
1.0936919450759888,1.0936919450759888,1.09722,-1.0,-1.0,1.0,2023-12-06,2025-11-10,0.0035280549240113,0.0035280549240113,1.2447171546840484e-05,1,12.0,1.09722,27.33195
1.0952666997909546,1.0952666997909546,1.09492,-1.0,-1.0,-1.0,2023-12-06,2025-11-10,-0.0003466997909544,0.0003466997909544,1.202007450478763e-07,1,12.0,1.09492,28.426869999999997
1.0957173109054563,1.0957173109054563,1.09499,0.0,1.0,1.0,2023-12-06,2025-11-10,-0.0007273109054566,0.0007273109054566,5.289811531961505e-07,1,12.0,1.09499,29.521859999999997
1.095815658569336,1.095815658569336,1.08748,0.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0083356585693359,0.0083356585693359,6.948320378454361e-05,1,12.0,1.08748,30.609339999999992
