y_pred,y_pred_price,y_true,signal,direction_pred,direction_true,fecha_inicio_ventana,fecha_fin_ventana,error,abs_error,sq_error,horizon,threshold_pips,pnl,pnl_cum
1.0948484494795498,1.0948484494795498,1.07628,0.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0185684494795499,0.0185684494795499,0.0003447873160745,1,12.0,1.07628,1.07628
1.093912166067751,1.093912166067751,1.07951,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0144021660677511,0.0144021660677511,0.000207422387443,1,12.0,1.07951,2.15579
1.093504003606841,1.093504003606841,1.07617,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.017334003606841,0.017334003606841,0.0003004676810419,1,12.0,1.07617,3.23196
1.093106894463763,1.093106894463763,1.07634,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0167668944637628,0.0167668944637628,0.0002811287499589,1,12.0,1.07634,4.3083
1.093127591329354,1.093127591329354,1.07943,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0136975913293539,0.0136975913293539,0.0001876240082259,1,12.0,1.07943,5.38773
1.0934764149103675,1.0934764149103675,1.08742,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0060564149103676,0.0060564149103676,3.668016156652396e-05,1,12.0,1.08742,6.475149999999999
1.09375739136743,1.09375739136743,1.09908,1.0,1.0,1.0,2023-12-06,2025-11-10,0.0053226086325699,0.0053226086325699,2.8330162655508123e-05,1,12.0,1.09908,7.574229999999999
1.09527247579418,1.09527247579418,1.08943,-1.0,-1.0,-1.0,2023-12-06,2025-11-10,-0.0058424757941801,0.0058424757941801,3.413452340558132e-05,1,12.0,1.08943,8.663659999999998
1.0959175534316743,1.0959175534316743,1.09228,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0036375534316743,0.0036375534316743,1.3231794968286049e-05,1,12.0,1.09228,9.75594
1.0984735685804952,1.0984735685804952,1.09794,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0005335685804952,0.0005335685804952,2.846954300917131e-07,1,12.0,1.09794,10.853879999999998
1.09943882274944,1.09943882274944,1.09414,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0052988227494401,0.0052988227494401,2.8077522529984548e-05,1,12.0,1.09414,11.948019999999998
1.1001998325357147,1.1001998325357147,1.10111,1.0,1.0,1.0,2023-12-06,2025-11-10,0.0009101674642852,0.0009101674642852,8.284048130435222e-07,1,12.0,1.10111,13.049129999999998
1.1010317376382217,1.1010317376382217,1.10108,0.0,-1.0,-1.0,2023-12-06,2025-11-10,4.826236177835064e-05,4.826236177835064e-05,2.3292555644244e-09,1,12.0,1.10108,14.150209999999998
1.101546721190856,1.101546721190856,1.1041,0.0,1.0,1.0,2023-12-06,2025-11-10,0.002553278809144,0.002553278809144,6.519232677223914e-06,1,12.0,1.1041,15.254309999999998
1.1047512060385358,1.1047512060385358,1.1106,0.0,1.0,1.0,2023-12-06,2025-11-10,0.0058487939614642,0.0058487939614642,3.4208390803660146e-05,1,12.0,1.1106,16.36491
1.105568998687633,1.105568998687633,1.10615,-1.0,-1.0,-1.0,2023-12-06,2025-11-10,0.000581001312367,0.000581001312367,3.375625249722304e-07,1,12.0,1.10615,17.471059999999998
1.1061345521917645,1.1061345521917645,1.10384,0.0,-1.0,-1.0,2023-12-06,2025-11-10,-0.0022945521917643,0.0022945521917643,5.264969760730499e-06,1,12.0,1.10384,18.5749
1.1069475416775307,1.1069475416775307,1.09406,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0128875416775307,0.0128875416775307,0.00016608873049,1,12.0,1.09406,19.66896
1.1083904639005469,1.1083904639005469,1.0919,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0164904639005467,0.0164904639005467,0.0002719353996552,1,12.0,1.0919,20.76086
1.1045913217973953,1.1045913217973953,1.09471,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0098813217973952,0.0098813217973952,9.76405204636776e-05,1,12.0,1.09471,21.85557
1.1033851203980287,1.1033851203980287,1.09403,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0093551203980286,0.0093551203980286,8.751827766161192e-05,1,12.0,1.09403,22.9496
1.106720129197041,1.106720129197041,1.09501,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0117101291970409,0.0117101291970409,0.0001371271258113,1,12.0,1.09501,24.044609999999995
1.1042156798883338,1.1042156798883338,1.09299,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0112256798883338,0.0112256798883338,0.0001260158889553,1,12.0,1.09299,25.1376
1.1042568980488117,1.1042568980488117,1.09713,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0071268980488117,0.0071268980488117,5.079267579815637e-05,1,12.0,1.09713,26.234729999999995
1.101442522094039,1.101442522094039,1.09722,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0042225220940388,0.0042225220940388,1.782969283464614e-05,1,12.0,1.09722,27.33195
1.0998912111665162,1.0998912111665162,1.09492,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0049712111665161,0.0049712111665161,2.471294046209446e-05,1,12.0,1.09492,28.426869999999997
1.0997784035917162,1.0997784035917162,1.09499,1.0,1.0,1.0,2023-12-06,2025-11-10,-0.0047884035917162,0.0047884035917162,2.2928808957161405e-05,1,12.0,1.09499,29.521859999999997
1.099981508693545,1.099981508693545,1.08748,1.0,1.0,-1.0,2023-12-06,2025-11-10,-0.0125015086935449,0.0125015086935449,0.0001562877196147,1,12.0,1.08748,30.609339999999992
